id,name,producerName,id,name,subscribersCount,macroCategories,data
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,5,Pubbliche Amministrazioni Centrali,8,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2,"{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,7,Regioni e Province autonome,14,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":14}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":14}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,12,Stazioni Appaltanti e Gestori di pubblici servizi,8,"{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":8}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":8}}"
1,Altre Pubbliche Amministrazioni locali,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1,Altre Pubbliche Amministrazioni locali,2,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":2}","{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":2}}"
1,Altre Pubbliche Amministrazioni locali,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",7,Regioni e Province autonome,1,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":1}","{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":1}}"
1,Altre Pubbliche Amministrazioni locali,Consiglio Nazionale Forense,null,null,null,,"{""producerName"":""Consiglio Nazionale Forense"",""macroCategories"":""""}"
2,Aziende Ospedaliere e ASL,null,null,null,null,null,
3,Comuni,Comune di Torino,3,Comuni,2,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}","{""producerName"":""Comune di Torino"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
3,Comuni,Comune di Gallarate,3,Comuni,2,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}","{""producerName"":""Comune di Gallarate"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
